sentence,case-neg,case-all,case-conj,source
不喜歡這家的榨菜肉絲麵,1,0,0,generate
不喜歡水餃,1,0,0,generate
水餃不好吃,1,0,0,generate
這裡的小菜不怎麼樣,1,0,0,generate
水餃很不好吃,1,0,0,generate
麻辣水煮魚很不好吃,1,0,0,generate
雞肉和大滷麵都難吃,0,1,1,generate
雞肉和大滷麵都不喜歡,1,1,1,generate
水餃和排骨麵超級好吃,0,0,1,generate
水餃和牛肉麵都很好吃,0,1,1,generate
牛肉麵的湯和面都很好吃,0,1,1,generate
水餃和湯都不錯，但小菜天崩地裂地難吃,0,1,1,generate
水餃和湯都不錯，但小菜口感很差,0,1,1,generate
水餃和湯都不錯，但小菜不太好吃,1,1,1,generate
我覺得水餃和湯都不錯，但小菜不太好吃,1,1,1,generate
店內提供的湯頭非常香,0,0,0,generate
角煮味道厚實但肥肉部分有點油膩。唐揚雞塊不柴但也沒有嫩，味道偏淡。,1,0,1,google-map
湯頭濃郁不過鹹細麵好吃,0,0,0,google-map
朋友吃酸辣湯餃也很棒,0,0,0,google-map
麵條Q彈好吃,0,0,0,google-map
店內提供多種口味拉麵，主要以豚骨湯底為主，還有混合魚系湯頭，整體喝起來濃郁卻不膩，可以一口接一口喝。,0,0,0,google-map