,food_list,source
807,吐司,eHowNet-food
808,土司,eHowNet-food
809,土司麵包,eHowNet-food
810,三明治,eHowNet-food
811,火腿三明治,eHowNet-food
812,小籠包,eHowNet-food
813,湯包,eHowNet-food
814,菜包子,eHowNet-food
816,包子,eHowNet-food
817,銀絲卷,eHowNet-food
818,銀絲捲,eHowNet-food
819,饃,eHowNet-food
820,饅頭,eHowNet-food
821,披薩,eHowNet-food
822,漢堡,eHowNet-food
882,肉包,eHowNet-food
883,肉包子,eHowNet-food
926,四眼魚,eHowNet-food
927,成魚,eHowNet-food
928,沙丁魚,eHowNet-food
929,河魚,eHowNet-food
930,海魚,eHowNet-food
931,溪魚,eHowNet-food
932,無顎魚,eHowNet-food
933,生魚片,eHowNet-food
934,秘雕魚,eHowNet-food
935,醃魚,eHowNet-food
936,醺魚,eHowNet-food
937,釜中魚,eHowNet-food
938,銀魚,eHowNet-food
939,雄魚,eHowNet-food
940,飛魚,eHowNet-food
941,食人魚,eHowNet-food
942,食用魚,eHowNet-food
943,魚介,eHowNet-food
944,魚塊,eHowNet-food
945,魚屍,eHowNet-food
946,魚群,eHowNet-food
947,魚蝦,eHowNet-food
948,鮮魚,eHowNet-food
949,鹹水魚,eHowNet-food
950,鹹魚,eHowNet-food
951,魚,eHowNet-food
952,魚兒,eHowNet-food
953,魚類,eHowNet-food
954,淡水魚,eHowNet-food
955,香魚,eHowNet-food
956,腮,eHowNet-food
957,魚肚,eHowNet-food
958,魚鰓,eHowNet-food
959,魚鰾,eHowNet-food
960,鰓,eHowNet-food
961,鰾,eHowNet-food
962,幼魚,eHowNet-food
963,魚秧,eHowNet-food
964,魚苗,eHowNet-food
965,鯤,eHowNet-food
966,鱄,eHowNet-food
967,黃花魚,eHowNet-food
968,黃魚,eHowNet-food
969,印魚,eHowNet-food
970,斑魚,eHowNet-food
971,河豚,eHowNet-food
972,魨,eHowNet-food
973,海蛆,eHowNet-food
974,海馬,eHowNet-food
975,海龍,eHowNet-food
976,雄海馬,eHowNet-food
977,燈籠魚,eHowNet-food
978,琵琶魚,eHowNet-food
979,秋刀魚,eHowNet-food
980,虱目魚,eHowNet-food
981,孔雀魚,eHowNet-food
982,熱帶魚,eHowNet-food
983,紅龍,eHowNet-food
984,觀賞魚,eHowNet-food
985,金魚,eHowNet-food
986,鬥魚,eHowNet-food
987,魟,eHowNet-food
988,鰩,eHowNet-food
989,鰩魚,eHowNet-food
990,鮪,eHowNet-food
991,鮪魚,eHowNet-food
992,櫻花鉤吻鮭,eHowNet-food
993,河鱒,eHowNet-food
994,鉤吻鮭,eHowNet-food
995,鮭,eHowNet-food
996,鮭魚,eHowNet-food
997,鱒魚,eHowNet-food
998,錦鯉,eHowNet-food
999,松魚,eHowNet-food
1000,草魚,eHowNet-food
1001,鯇,eHowNet-food
1002,鯉,eHowNet-food
1003,鯉魚,eHowNet-food
1004,鰱,eHowNet-food
1005,鰱魚,eHowNet-food
1006,虎鯊,eHowNet-food
1007,豆腐鯊,eHowNet-food
1008,鮫,eHowNet-food
1009,鮫鰈,eHowNet-food
1010,鯊,eHowNet-food
1011,鯊魚,eHowNet-food
1012,烏魚,eHowNet-food
1013,鯔,eHowNet-food
1014,青花魚,eHowNet-food
1015,青魚,eHowNet-food
1016,魠,eHowNet-food
1017,鮐,eHowNet-food
1018,鯖,eHowNet-food
1019,鯖魚,eHowNet-food
1020,黑鯛,eHowNet-food
1021,魴,eHowNet-food
1022,鯛,eHowNet-food
1023,鯛類,eHowNet-food
1024,鯛魚,eHowNet-food
1025,鯧,eHowNet-food
1026,鯧魚,eHowNet-food
1027,土虱,eHowNet-food
1028,垃圾魚,eHowNet-food
1029,鮀,eHowNet-food
1030,鯰,eHowNet-food
1031,鰋,eHowNet-food
1032,黏魚,eHowNet-food
1033,鯷,eHowNet-food
1034,鯷魚,eHowNet-food
1035,鱭,eHowNet-food
1036,扁魚,eHowNet-food
1037,比目魚,eHowNet-food
1038,沙魚,eHowNet-food
1039,鰈,eHowNet-food
1040,鰨,eHowNet-food
1041,泥鰍,eHowNet-food
1042,鰍,eHowNet-food
1043,鰼,eHowNet-food
1044,鰣,eHowNet-food
1045,尾鰭,eHowNet-food
1046,胸鰭,eHowNet-food
1047,臀鰭,eHowNet-food
1048,魚鰭,eHowNet-food
1049,鰭,eHowNet-food
1050,鰳,eHowNet-food
1051,鮂,eHowNet-food
1052,鯪,eHowNet-food
1053,鰷,eHowNet-food
1054,鰷魚,eHowNet-food
1055,柴魚,eHowNet-food
1056,鰹,eHowNet-food
1057,八目鰻,eHowNet-food
1058,歐洲鰻,eHowNet-food
1059,海鰻,eHowNet-food
1060,美洲鰻,eHowNet-food
1061,鰻,eHowNet-food
1062,鰻魚,eHowNet-food
1063,鱔,eHowNet-food
1064,鱔魚,eHowNet-food
1065,鱺,eHowNet-food
1066,鱈,eHowNet-food
1067,鱈魚,eHowNet-food
1068,鱖,eHowNet-food
1069,鱖魚,eHowNet-food
1070,鰉,eHowNet-food
1071,鱘,eHowNet-food
1072,鱘魚,eHowNet-food
1073,鱣,eHowNet-food
1074,鱧,eHowNet-food
1075,鮒,eHowNet-food
1076,鯽,eHowNet-food
1077,鯽魚,eHowNet-food
1078,梭子魚,eHowNet-food
1079,梭魚,eHowNet-food
1080,梭魚類,eHowNet-food
1081,劍魚,eHowNet-food
1082,旗魚,eHowNet-food
1083,帶魚,eHowNet-food
1084,白帶魚,eHowNet-food
1085,紅魚,eHowNet-food
1086,紅鯛,eHowNet-food
1087,冰糖葫蘆,eHowNet-food
1088,小食,eHowNet-food
1089,果食,eHowNet-food
1090,糖葫蘆,eHowNet-food
1091,茶點,eHowNet-food
1092,薩齊瑪,eHowNet-food
1093,零嘴,eHowNet-food
1094,零食,eHowNet-food
1095,點心,eHowNet-food
1096,乾貨,eHowNet-food
1097,八寶,eHowNet-food
1098,慕斯,eHowNet-food
1099,泡芙,eHowNet-food
1100,炸麻花,eHowNet-food
1101,西點,eHowNet-food
1102,豆簽,eHowNet-food
1103,海苔,eHowNet-food
1104,青海苔,eHowNet-food
1105,甜品,eHowNet-food
1106,甜甜圈,eHowNet-food
1107,甜食,eHowNet-food
1108,甜點,eHowNet-food
1109,米果,eHowNet-food
1110,粿,eHowNet-food
1111,油茶,eHowNet-food
1112,麵茶,eHowNet-food
1113,冰品,eHowNet-food
1114,冰棍,eHowNet-food
1115,冰棒,eHowNet-food
1116,冰淇淋,eHowNet-food
1117,冰糕,eHowNet-food
1118,凍糕,eHowNet-food
1119,刨冰,eHowNet-food
1120,枝仔冰,eHowNet-food
1121,甜筒,eHowNet-food
1122,聖代,eHowNet-food
1123,雪糕,eHowNet-food
1124,霜淇淋,eHowNet-food
1125,香蕉冰,eHowNet-food
1126,油條,eHowNet-food
1127,米糕,eHowNet-food
1128,蘿蔔糕,eHowNet-food
1129,蚵仔煎,eHowNet-food
1130,蛋餅,eHowNet-food
1131,鴨賞,eHowNet-food
1132,小吃,eHowNet-food
1133,春捲,eHowNet-food
1134,熱狗,eHowNet-food
1135,甜不辣,eHowNet-food
1136,碗粿,eHowNet-food
1137,米苔目,eHowNet-food
1138,肉圓,eHowNet-food
1139,餡餅,eHowNet-food
1140,魯肉飯,eHowNet-food
1141,黑輪,eHowNet-food
1142,官燕,eHowNet-food
1143,涼粉,eHowNet-food
1144,仙草,eHowNet-food
1145,凍兒,eHowNet-food
1146,布丁,eHowNet-food
1147,愛玉,eHowNet-food
1148,果凍,eHowNet-food
1149,洋菜,eHowNet-food
1150,洋菜膠,eHowNet-food
1151,石花菜,eHowNet-food
1152,爆玉米花,eHowNet-food
1153,爆米花,eHowNet-food
1154,玉米花,eHowNet-food
1155,玉米花兒,eHowNet-food
1156,瓜仁,eHowNet-food
1157,瓜子,eHowNet-food
1158,瓜子仁,eHowNet-food
1159,元宵,eHowNet-food
1160,圓仔湯,eHowNet-food
1161,綠豆湯,eHowNet-food
1162,蓮子湯,eHowNet-food
1163,酸梅湯,eHowNet-food
1164,甜湯,eHowNet-food
1165,豆花,eHowNet-food
1166,圓餅,eHowNet-food
1167,壽糕,eHowNet-food
1168,家常餅,eHowNet-food
1169,柿糕,eHowNet-food
1170,比薩,eHowNet-food
1171,油炸餅,eHowNet-food
1172,油香,eHowNet-food
1173,煎餅,eHowNet-food
1174,燒餅,eHowNet-food
1175,玉米餅,eHowNet-food
1176,甜糕點,eHowNet-food
1177,禮餅,eHowNet-food
1178,綠豆糕,eHowNet-food
1179,肉餅,eHowNet-food
1180,蒸餅,eHowNet-food
1181,薄餅,eHowNet-food
1182,薑餅,eHowNet-food
1183,西餅,eHowNet-food
1184,豬肉餅,eHowNet-food
1185,酪餅,eHowNet-food
1186,鍋盔,eHowNet-food
1187,鬆脆餅,eHowNet-food
1188,鳳梨酥,eHowNet-food
1189,千層糕,eHowNet-food
1190,太陽餅,eHowNet-food
1191,年糕,eHowNet-food
1192,春餅,eHowNet-food
1193,水潤餅,eHowNet-food
1194,油煎餅,eHowNet-food
1195,派,eHowNet-food
1196,涼糕,eHowNet-food
1197,澄沙,eHowNet-food
1198,烙餅,eHowNet-food
1199,牛舌餅,eHowNet-food
1200,狀元餅,eHowNet-food
1201,粄,eHowNet-food
1202,糕,eHowNet-food
1203,糕餅,eHowNet-food
1204,糕餅類,eHowNet-food
1205,糕點,eHowNet-food
1206,糖糕,eHowNet-food
1207,羊羹,eHowNet-food
1208,豆餅,eHowNet-food
1209,酥餅,eHowNet-food
1210,長年糕,eHowNet-food
1211,飥,eHowNet-food
1212,餅,eHowNet-food
1213,香餅,eHowNet-food
1214,鬆餅,eHowNet-food
1215,麵餅,eHowNet-food
1216,薄荷糖,eHowNet-food
1217,薑糖,eHowNet-food
1218,藥糖,eHowNet-food
1219,麥芽糖,eHowNet-food
1220,口香糖,eHowNet-food
1221,拉糖,eHowNet-food
1222,拔絲,eHowNet-food
1223,棉花糖,eHowNet-food
1224,棒棒糖,eHowNet-food
1225,泡泡糖,eHowNet-food
1226,牛皮糖,eHowNet-food
1228,糖果,eHowNet-food
1229,糖食,eHowNet-food
1230,葡萄乾,eHowNet-food
1231,軟糖,eHowNet-food
1232,酥糖,eHowNet-food
1233,飴,eHowNet-food
1234,龍眼乾,eHowNet-food
1235,蜜餞,eHowNet-food
1236,陳皮梅,eHowNet-food
1237,乾糧,eHowNet-food
1238,光餅,eHowNet-food
1239,口糧,eHowNet-food
1240,夾心餅乾,eHowNet-food
1241,脆餅,eHowNet-food
1242,蛋捲,eHowNet-food
1243,餅乾,eHowNet-food
1244,餅干,eHowNet-food
1245,麻花,eHowNet-food
1246,滷味,eHowNet-food
1247,鹵味,eHowNet-food
1248,粽,eHowNet-food
1249,粽子,eHowNet-food
1250,粿粽,eHowNet-food
1251,肉粽,eHowNet-food
1252,角黍,eHowNet-food
1253,鹼粽,eHowNet-food
1254,燕窩,eHowNet-food
1255,燕菜,eHowNet-food
1256,蜂王乳,eHowNet-food
1257,蜂王漿,eHowNet-food
1258,圓子,eHowNet-food
1259,湯圓,eHowNet-food
1260,中秋月餅,eHowNet-food
1261,月餅,eHowNet-food
1262,油餅,eHowNet-food
1263,炸糕,eHowNet-food
1264,蛋糕,eHowNet-food
1265,雞蛋糕,eHowNet-food
1266,巧克力,eHowNet-food
1267,巧克力糖,eHowNet-food
1268,朱古力糖,eHowNet-food
1269,烏梅,eHowNet-food
1270,茶梅,eHowNet-food
1271,話梅,eHowNet-food
1272,酸梅,eHowNet-food
1273,植物油,eHowNet-food
1274,葷油,eHowNet-food
1275,豬油,eHowNet-food
1276,魚油,eHowNet-food
1277,麻油,eHowNet-food
1278,棕櫚油,eHowNet-food
1279,椰子油,eHowNet-food
1280,橄欖油,eHowNet-food
1281,沙拉油,eHowNet-food
1282,油水,eHowNet-food
1283,生油,eHowNet-food
1284,花生油,eHowNet-food
1285,茶油,eHowNet-food
1286,菜油,eHowNet-food
1287,豆油,eHowNet-food
1288,食油,eHowNet-food
1289,食用油,eHowNet-food
1290,香油,eHowNet-food
1291,奶油,eHowNet-food
1292,牛油,eHowNet-food
1293,白脫,eHowNet-food
1294,酥油,eHowNet-food
1295,鮮奶油,eHowNet-food
1296,黃油,eHowNet-food
1413,果,eHowNet-food
1414,果品,eHowNet-food
1415,果子,eHowNet-food
1416,果實,eHowNet-food
1417,梨果,eHowNet-food
1418,水果,eHowNet-food
1419,火龍果,eHowNet-food
1420,瓜果,eHowNet-food
1421,蓏,eHowNet-food
1422,乾果,eHowNet-food
1423,假果,eHowNet-food
1424,果屑,eHowNet-food
1425,果皮,eHowNet-food
1426,果穗,eHowNet-food
1427,果肉,eHowNet-food
1428,橡實,eHowNet-food
1429,瓜瓣,eHowNet-food
1430,百果,eHowNet-food
1431,莢果,eHowNet-food
1432,蒂,eHowNet-food
1433,蔬果,eHowNet-food
1434,鮮果,eHowNet-food
1435,麥穗,eHowNet-food
1436,果菜,eHowNet-food
1437,果菜類,eHowNet-food
1438,果蔬,eHowNet-food
1439,桑椹,eHowNet-food
1440,桑葚,eHowNet-food
1441,松果,eHowNet-food
1442,松毬,eHowNet-food
1443,毬果,eHowNet-food
1444,堅果,eHowNet-food
1445,果仁,eHowNet-food
1446,栗,eHowNet-food
1447,栗子,eHowNet-food
1448,核桃,eHowNet-food
1449,榛子,eHowNet-food
1450,炒栗子,eHowNet-food
1451,胡桃,eHowNet-food
1452,腰果,eHowNet-food
1453,奇異果,eHowNet-food
1454,獼猴桃,eHowNet-food
1455,木瓜,eHowNet-food
1456,萬壽果,eHowNet-food
1457,李,eHowNet-food
1458,李子,eHowNet-food
1459,梅,eHowNet-food
1460,梅子,eHowNet-food
1461,楊梅,eHowNet-food
1462,樹梅,eHowNet-food
1463,青梅,eHowNet-food
1464,黃梅,eHowNet-food
1465,杏,eHowNet-food
1466,杏兒,eHowNet-food
1467,杏子,eHowNet-food
1468,杏脯,eHowNet-food
1469,枇杷,eHowNet-food
1470,杏核,eHowNet-food
1471,果心,eHowNet-food
1472,果核,eHowNet-food
1473,核仁,eHowNet-food
1474,核果,eHowNet-food
1475,文旦,eHowNet-food
1476,柚,eHowNet-food
1477,柚子,eHowNet-food
1478,橙皮,eHowNet-food
1479,甜橙,eHowNet-food
1480,金橘,eHowNet-food
1481,柑橘,eHowNet-food
1482,柳丁,eHowNet-food
1483,柳橙,eHowNet-food
1484,橙,eHowNet-food
1485,橙子,eHowNet-food
1486,柿,eHowNet-food
1487,柿子,eHowNet-food
1488,柿青,eHowNet-food
1489,柿餅,eHowNet-food
1490,紅柿,eHowNet-food
1491,壽桃,eHowNet-food
1492,桃,eHowNet-food
1493,桃兒,eHowNet-food
1494,桃子,eHowNet-food
1495,毛桃,eHowNet-food
1496,水蜜桃,eHowNet-food
1497,世紀梨,eHowNet-food
1498,梨,eHowNet-food
1499,梨子,eHowNet-food
1500,棠,eHowNet-food
1501,水梨,eHowNet-food
1502,鴨梨,eHowNet-food
1503,大棗,eHowNet-food
1504,棗,eHowNet-food
1505,棗子,eHowNet-food
1506,海棗,eHowNet-food
1507,紅棗,eHowNet-food
1508,蜜棗,eHowNet-food
1509,金棗,eHowNet-food
1510,黑棗,eHowNet-food
1511,椰,eHowNet-food
1512,椰子,eHowNet-food
1513,椰子類,eHowNet-food
1514,椰肉,eHowNet-food
1515,楊桃,eHowNet-food
1516,萇,eHowNet-food
1517,榴槤,eHowNet-food
1518,橄欖,eHowNet-food
1519,欖,eHowNet-food
1520,青果,eHowNet-food
1521,檸檬,eHowNet-food
1522,萊姆,eHowNet-food
1523,櫻桃,eHowNet-food
1524,波羅蜜,eHowNet-food
1525,菠蘿蜜,eHowNet-food
1526,無花果,eHowNet-food
1527,瓜皮,eHowNet-food
1528,瓜,eHowNet-food
1529,百香果,eHowNet-food
1530,芒果,eHowNet-food
1531,番石榴,eHowNet-food
1532,芭樂,eHowNet-food
1533,玉荷包,eHowNet-food
1534,荔枝,eHowNet-food
1535,藍莓,eHowNet-food
1536,黑莓,eHowNet-food
1537,洋莓,eHowNet-food
1538,漿果,eHowNet-food
1539,莓,eHowNet-food
1540,覆盆子,eHowNet-food
1541,紫葡萄,eHowNet-food
1542,葡萄,eHowNet-food
1543,酸葡萄,eHowNet-food
1544,野葡萄,eHowNet-food
1545,金鈴,eHowNet-food
1546,金鈴子,eHowNet-food
1547,葡萄柚,eHowNet-food
1548,蓮霧,eHowNet-food
1549,林檎,eHowNet-food
1550,柰,eHowNet-food
1551,沙果,eHowNet-food
1552,蘋果,eHowNet-food
1553,青蘋果,eHowNet-food
1554,釋迦,eHowNet-food
1555,釋迦果,eHowNet-food
1556,芭蕉,eHowNet-food
1557,香蕉,eHowNet-food
1558,香蕉皮,eHowNet-food
1559,波羅,eHowNet-food
1560,菠蘿,eHowNet-food
1561,鳳梨,eHowNet-food
1562,枸橘,eHowNet-food
1563,柑,eHowNet-food
1564,柑桔,eHowNet-food
1565,桔,eHowNet-food
1566,桔子,eHowNet-food
1567,桶柑,eHowNet-food
1568,椪柑,eHowNet-food
1569,橘,eHowNet-food
1570,橘子,eHowNet-food
1571,海梨,eHowNet-food
1572,甜柑,eHowNet-food
1573,蜜柑,eHowNet-food
1574,陳皮,eHowNet-food
1575,仙桃,eHowNet-food
1576,蟠桃,eHowNet-food
1577,瓜瓤,eHowNet-food
1578,瓜肉,eHowNet-food
1579,瓤,eHowNet-food
1580,哈密瓜,eHowNet-food
1581,哈蜜瓜,eHowNet-food
1582,洋香瓜,eHowNet-food
1583,甜瓜,eHowNet-food
1584,香瓜,eHowNet-food
1585,情人果,eHowNet-food
1586,芒果青,eHowNet-food
1587,小紅莓,eHowNet-food
1588,蔓越莓,eHowNet-food
1589,草莓,eHowNet-food
1592,葉菜類,eHowNet-food
1593,蔬,eHowNet-food
1594,蔬菜,eHowNet-food
1595,青菜,eHowNet-food
1596,乾菜,eHowNet-food
1597,佛手瓜,eHowNet-food
1598,山蔬,eHowNet-food
1599,水芹,eHowNet-food
1600,油菜,eHowNet-food
1601,甜椒,eHowNet-food
1602,荼,eHowNet-food
1603,莧菜,eHowNet-food
1604,醃菜,eHowNet-food
1605,野菜,eHowNet-food
1606,鹹菜,eHowNet-food
1607,龍鬚菜,eHowNet-food
1608,北瓜,eHowNet-food
1609,南瓜,eHowNet-food
1610,金瓜,eHowNet-food
1611,山藥,eHowNet-food
1612,山藥蛋,eHowNet-food
1613,洋蔥,eHowNet-food
1614,牛蒡,eHowNet-food
1615,包心白菜,eHowNet-food
1616,包心菜,eHowNet-food
1617,大白菜,eHowNet-food
1618,小白菜,eHowNet-food
1619,捲心菜,eHowNet-food
1620,椰菜,eHowNet-food
1621,甘籃菜,eHowNet-food
1622,甘藍,eHowNet-food
1623,甘藍菜,eHowNet-food
1624,白菜,eHowNet-food
1625,菘,eHowNet-food
1626,高麗菜,eHowNet-food
1627,紅椒,eHowNet-food
1628,青椒,eHowNet-food
1629,甜菜,eHowNet-food
1630,糖蘿蔔,eHowNet-food
1631,空心菜,eHowNet-food
1632,蕹菜,eHowNet-food
1633,絲瓜,eHowNet-food
1634,菜瓜,eHowNet-food
1635,胡瓜,eHowNet-food
1636,花瓜,eHowNet-food
1637,黃瓜,eHowNet-food
1638,榨菜,eHowNet-food
1639,芥,eHowNet-food
1640,芥菜,eHowNet-food
1641,芥藍菜,eHowNet-food
1642,長年菜,eHowNet-food
1643,雪裡紅,eHowNet-food
1644,花椰菜,eHowNet-food
1645,菜花,eHowNet-food
1646,毒芹,eHowNet-food
1647,芹,eHowNet-food
1648,芹菜,eHowNet-food
1649,西芹,eHowNet-food
1650,香芹,eHowNet-food
1651,癩瓜,eHowNet-food
1652,苦瓜,eHowNet-food
1653,茄,eHowNet-food
1654,茄子,eHowNet-food
1655,菠菜,eHowNet-food
1656,大陸妹,eHowNet-food
1657,生菜,eHowNet-food
1658,苣,eHowNet-food
1659,萵苣,eHowNet-food
1660,冬瓜,eHowNet-food
1661,匏,eHowNet-food
1662,扁蒲,eHowNet-food
1663,瓞,eHowNet-food
1664,瓠瓜,eHowNet-food
1665,葫蘆,eHowNet-food
1666,大蒜,eHowNet-food
1667,蒜,eHowNet-food
1668,蒜泥,eHowNet-food
1669,蒜瓣,eHowNet-food
1670,蒜苗,eHowNet-food
1671,蒜茸,eHowNet-food
1672,蒜頭,eHowNet-food
1673,青蒜,eHowNet-food
1674,蔥,eHowNet-food
1675,蔥段,eHowNet-food
1676,蔥白,eHowNet-food
1677,蔥花,eHowNet-food
1678,蔥蒜,eHowNet-food
1679,蔥頭,eHowNet-food
1680,番茄,eHowNet-food
1681,蕃茄,eHowNet-food
1682,蕃茄片,eHowNet-food
1683,大頭菜,eHowNet-food
1684,菜心,eHowNet-food
1685,蕪菁,eHowNet-food
1686,生薑,eHowNet-food
1687,紫薑,eHowNet-food
1688,薑,eHowNet-food
1689,薑末,eHowNet-food
1690,薑片,eHowNet-food
1691,白蘆筍,eHowNet-food
1692,籚筍,eHowNet-food
1693,蘆筍,eHowNet-food
1694,蘺,eHowNet-food
1695,白蘿蔔,eHowNet-food
1696,胡蘿蔔素,eHowNet-food
1697,蘿蔔乾,eHowNet-food
1698,菜頭,eHowNet-food
1699,萊菔,eHowNet-food
1700,蘿菠,eHowNet-food
1701,蘿蔔,eHowNet-food
1702,芽菜,eHowNet-food
1703,豆芽,eHowNet-food
1704,豆芽菜,eHowNet-food
1705,椒,eHowNet-food
1706,番椒,eHowNet-food
1707,辣子,eHowNet-food
1708,辣椒,eHowNet-food
1709,薤,eHowNet-food
1710,韭,eHowNet-food
1711,韭菜,eHowNet-food
1712,韭黃,eHowNet-food
1713,九層塔,eHowNet-food
1714,芫,eHowNet-food
1715,芫荽,eHowNet-food
1716,香菜,eHowNet-food
1717,洋山芋,eHowNet-food
1718,洋芋,eHowNet-food
1719,洋芋片,eHowNet-food
1720,薯,eHowNet-food
1721,薯條,eHowNet-food
1722,馬鈴薯,eHowNet-food
1723,紅蘿蔔,eHowNet-food
1724,胡夢卜,eHowNet-food
1725,胡蘿蔔,eHowNet-food
1726,無籽西瓜,eHowNet-food
1727,西瓜,eHowNet-food
1728,西瓜皮,eHowNet-food
1729,馬鈴瓜,eHowNet-food
0,化妝品,eHowNet-cosmetics
1,乳液,eHowNet-cosmetics
2,香水,eHowNet-cosmetics
3,保濕霜,eHowNet-cosmetics
4,遮瑕膏,eHowNet-cosmetics
5,指甲油,eHowNet-cosmetics
6,粉墨,eHowNet-cosmetics
7,胭,eHowNet-cosmetics
8,唇筆,eHowNet-cosmetics
9,眼霜,eHowNet-cosmetics
10,水粉,eHowNet-cosmetics
11,胭粉,eHowNet-cosmetics
12,粉,eHowNet-cosmetics
13,唇彩,eHowNet-cosmetics
14,腮紅,eHowNet-cosmetics
15,胭脂花粉,eHowNet-cosmetics
16,粉餅,eHowNet-cosmetics
17,胭脂,eHowNet-cosmetics
18,脂粉,eHowNet-cosmetics
19,保養品,eHowNet-cosmetics
20,面膜,eHowNet-cosmetics
21,化粧品,eHowNet-cosmetics
22,眼影,eHowNet-cosmetics
23,眉筆,eHowNet-cosmetics
24,花露水,eHowNet-cosmetics
25,雪花膏,eHowNet-cosmetics
26,護手霜,eHowNet-cosmetics
27,蔻丹,eHowNet-cosmetics
28,面霜,eHowNet-cosmetics
29,口紅,eHowNet-cosmetics
30,脣膏,eHowNet-cosmetics
31,精華露,eHowNet-cosmetics
32,花黃,eHowNet-cosmetics
33,鉛華,eHowNet-cosmetics
34,粉底,eHowNet-cosmetics
35,香精,eHowNet-cosmetics
36,唇膏,eHowNet-cosmetics
0,四眼魚,eHowNet-animate
1,成魚,eHowNet-animate
2,沙丁魚,eHowNet-animate
3,河魚,eHowNet-animate
4,海魚,eHowNet-animate
5,溪魚,eHowNet-animate
6,無顎魚,eHowNet-animate
7,生魚片,eHowNet-animate
8,秘雕魚,eHowNet-animate
9,醃魚,eHowNet-animate
10,醺魚,eHowNet-animate
11,釜中魚,eHowNet-animate
12,銀魚,eHowNet-animate
13,雄魚,eHowNet-animate
14,飛魚,eHowNet-animate
15,食人魚,eHowNet-animate
16,食用魚,eHowNet-animate
17,魚介,eHowNet-animate
18,魚塊,eHowNet-animate
19,魚屍,eHowNet-animate
20,魚群,eHowNet-animate
21,魚蝦,eHowNet-animate
22,鮮魚,eHowNet-animate
23,鹹水魚,eHowNet-animate
24,鹹魚,eHowNet-animate
25,魚,eHowNet-animate
